STATEID,STATE,CHANGE,PERCENT
1,Alabama,15314,0.3133061408535536
2,Alaska,-5893,-0.7991180275494346
4,Arizona,107071,1.492976647202051
5,Arkansas,3979,0.13202491850057652
6,California,-44822,-0.113309778321409
8,Colorado,63172,1.1091438881206497
10,Delaware,6593,0.6816788344563681
11,District of Columbia,3294,0.4689268351709362
9,Connecticut,-7378,-0.20651250537064067
12,Florida,178412,0.8376415684534604
13,Georgia,97948,0.9311111058299012
16,Idaho,32857,1.8730390010762692
15,Hawaii,-4619,-0.3251692548562434
17,Illinois,-69259,-0.5435881416645999
18,Indiana,40341,0.6028352579051799
19,Iowa,-1075,-0.03406053904367512
20,Kansas,1809,0.0621328144722403
21,Kentucky,-729,-0.01631455719516731
22,Louisiana,-11184,-0.2400011330525595
23,Maine,5808,0.43394968933147243
24,Maryland,2962,0.04901767714462267
25,Massachusetts,-9646,-0.13975357529951904
26,Michigan,-9058,-0.09061701705146552
27,Minnesota,28453,0.5070770331867867
31,Nebraska,5140,0.2664222907341023
28,Mississippi,-10381,-0.3475940305304149
29,Missouri,10976,0.17915752869687057
30,Montana,6473,0.6093353603720212
32,Nevada,45764,1.5081769263826164
33,New Hampshire,3253,0.23981575544543215
34,New Jersey,-26330,-0.2955597562782595
35,New Mexico,1401,0.0668598491573082
41,Oregon,27024,0.6448544674856045
36,New York,-88648,-0.4536232316418272
37,North Carolina,104464,1.0060460610076256
38,North Dakota,1985,0.26115775112258366
39,Ohio,-342,-0.0029257170701561287
40,Oklahoma,13892,0.35231350931594324
42,Pennsylvania,-5071,-0.03959534819076353
44,Rhode Island,2046,0.1935090299485016
45,South Carolina,64587,1.2703655907887432
46,South Dakota,2424,0.27475672581568406
47,Tennessee,59164,0.8739130370560751
48,Texas,294036,1.0244498219539546
50,Vermont,-2310,-0.3688334166268827
49,Utah,44853,1.4189025672984605
51,Virginia,17834,0.20937613917396566
53,Washington,79302,1.052366032073662
54,West Virginia,-13685,-0.7578224330945514
55,Wisconsin,8866,0.15250531171218776
56,Wyoming,1022,0.1768971002376514
72,Puerto Rico,-1459,-0.0456629150466347
