STATEID,STATE,WHITEPOP18,WHITEPOP19,BLACKPOP18,BLACKPOP19,AIANPOP18,AIANPOP19,ASPOP18,ASPOP19,HOPPOP18,HOPPOP19
1,Alabama,3379955,3389396,1310802,1313291,34375,34799,73167,73715,5207,5110
2,Alaska,481879,477488,27942,27108,113516,113953,49025,47799,10221,10498
4,Arizona,5937806,6013442,364280,376997,380160,385903,263696,268723,19789,20169
5,Arkansas,2385213,2385258,472287,473048,30225,30717,50301,50403,10881,11786
6,California,28531740,28424739,2556000,2552757,651076,649862,6063600,6110945,199872,199805
8,Colorado,4959310,5006612,259711,264479,91120,92982,197634,202664,10933,11329
9,Connecticut,2859280,2841541,429298,434585,19943,20567,173799,176579,3840,3879
10,Delaware,672019,674075,222070,225544,6458,6564,39584,39863,1049,1059
11,District of Columbia,320374,324581,326181,324484,4296,4130,31025,31502,975,923
12,Florida,16472125,16597392,3600121,3633515,106984,108950,631737,634827,24353,24641
13,Georgia,6360528,6391505,3411145,3458147,54882,56008,453488,463966,12432,12411
15,Hawaii,363549,361317,31138,30958,5629,5570,534651,532190,144806,143549
16,Idaho,1632188,1662365,15775,16346,30449,31120,27819,27711,3883,3944
17,Illinois,9791840,9726915,1860190,1852516,75567,75500,748722,747690,8445,8385
18,Indiana,5694468,5709592,658729,669596,27740,28340,165368,174750,4542,4539
19,Iowa,2864126,2859080,124819,128105,16681,17060,85708,84119,4232,4804
20,Kansas,2515351,2513846,178618,178725,34817,35063,91229,92862,3619,3687
21,Kentucky,3913936,3909923,375972,378479,13412,13404,72806,71504,4058,4192
22,Louisiana,2930432,2918843,1526090,1524733,36500,36596,84271,84192,2889,2854
23,Maine,1265648,1269326,21877,22691,9657,9767,16674,17420,455,455
24,Maryland,3552355,3539444,1867592,1878645,36188,36840,405682,406303,6746,6705
25,Massachusetts,5577194,5554165,617097,621902,34112,34310,492508,497517,7417,7410
26,Michigan,7923927,7911567,1408392,1407890,73499,73865,337336,336384,4142,4186
27,Minnesota,4718176,4723931,380414,395556,76616,77479,288975,292507,4145,4214
28,Mississippi,1766301,1758081,1128912,1124559,18423,18705,32152,33032,1812,1806
29,Missouri,5082571,5086188,724529,725579,35019,35839,131046,133312,9585,9857
30,Montana,945132,950211,6237,6389,70603,71096,9852,9833,893,920
31,Nebraska,1703446,1704129,98757,100763,28663,29285,52343,53187,2338,2349
32,Nevada,2253711,2277552,305848,316303,50871,51946,264411,268166,23962,24585
33,New Hampshire,1264217,1266097,23293,24371,4090,4114,40460,40300,637,672
34,New Jersey,6416347,6388804,1337754,1337457,54706,55429,889251,886810,9984,10240
35,New Mexico,1718901,1716656,53576,54772,228493,229794,37256,37550,3404,3341
36,New York,13619931,13546776,3447729,3421123,190414,189748,1750013,1753199,26745,27034
37,North Carolina,7334411,7399487,2306797,2330563,163078,165597,329284,334299,12989,13130
38,North Dakota,661549,662555,25620,25984,41962,42465,13426,12860,573,615
39,Ohio,9571522,9552736,1517999,1525570,33566,34010,287222,291478,6994,7055
40,Oklahoma,2924365,2927354,306890,307819,367043,371104,92179,94253,7568,8581
41,Oregon,3635926,3655136,92958,93740,76023,77115,202394,204739,18999,19245
42,Pennsylvania,10476085,10447062,1531457,1540092,49563,50687,474071,481877,10056,9994
44,Rhode Island,887259,885518,88411,90108,11308,11453,38419,39536,2135,2125
45,South Carolina,3483455,3532048,1380145,1388017,27694,28236,89962,94111,5153,5065
46,South Dakota,744733,748070,21000,20332,79412,80004,15093,13699,747,787
47,Tennessee,5315272,5354405,1155631,1164461,31826,32661,128526,134076,6496,6578
48,Texas,22624867,22806130,3673855,3739221,290961,294902,1486266,1510470,42333,43212
49,Utah,2865634,2904132,45700,47537,48628,49720,85389,85727,33495,33979
50,Vermont,589986,588102,8753,8774,2457,2441,12581,11964,247,247
51,Virginia,5918670,5922648,1691267,1696911,46409,46602,589046,589710,9998,10092
53,Washington,5944924,5977696,322826,331924,144450,146799,703455,727986,59001,60349
54,West Virginia,1687993,1675122,65231,64610,4526,4585,15338,14703,528,530
55,Wisconsin,5063526,5067781,389047,390543,67571,68628,176147,175279,3243,3419
56,Wyoming,534943,535371,7557,7467,15860,15778,6213,6571,572,596
